Inspection Only,Inspection Only
Adjust / Calibrate,Adjust / Calibrate
Clean,Clean
Lubricate,Lubricate
Replace Part,Replace Part
Repair Part,Repair Part
Software Update / Reset,Software Update / Reset
Recharge / Refill Fluid,Recharge / Refill Fluid
Road Test,Road Test
Remove & Refit,Remove & Refit
Upgrade / Retrofit,Upgrade / Retrofit
Outsource Repair,Outsource Repair
